0, 0, -881.482535502, [1e-09, 1e-09, 1e-09, 1e-07, 1e-08, 1e-10, 1e-07, 0.001, 1e-05, 0.0001, 1e-07, 1e-07]
0, 1, -3314.54428395, [1e-09, 1e-09, 1e-08, 1e-08, 1e-07, 1e-08, 1e-10, 0.001, 1e-07, 0.0001, 1e-09, 1e-08]
0, 2, -10481.3918326, [1e-09, 1e-10, 1e-09, 1e-09, 1e-10, 1e-10, 1e-07, 0.001, 1e-06, 0.001, 1e-08, 1e-09]
0, 3, -20000.0, [1e-10, 1e-10, 1e-09, 1e-09, 1e-09, 1e-10, 1e-10, 0.001, 1e-06, 0.001, 1e-07, 1e-10]
1, 0, -881.482535502, [1e-09, 1e-09, 1e-09, 1e-07, 1e-08, 1e-10, 1e-07, 0.001, 1e-05, 0.0001, 1e-07, 1e-07]
1, 1, -3314.54428395, [1e-09, 1e-09, 1e-08, 1e-08, 1e-07, 1e-08, 1e-10, 0.001, 1e-07, 0.0001, 1e-09, 1e-08]
1, 2, -10481.3918326, [1e-09, 1e-10, 1e-09, 1e-09, 1e-10, 1e-10, 1e-07, 0.001, 1e-06, 0.001, 1e-08, 1e-09]
1, 3, -20000.0, [1e-10, 1e-10, 1e-09, 1e-09, 1e-09, 1e-10, 1e-10, 0.001, 1e-06, 0.001, 1e-07, 1e-10]
2, 0, -881.482535502, [1e-09, 1e-09, 1e-09, 1e-07, 1e-08, 1e-10, 1e-07, 0.001, 1e-05, 0.0001, 1e-07, 1e-07]
2, 1, -3314.54428395, [1e-09, 1e-09, 1e-08, 1e-08, 1e-07, 1e-08, 1e-10, 0.001, 1e-07, 0.0001, 1e-09, 1e-08]
2, 2, -10481.3918326, [1e-09, 1e-10, 1e-09, 1e-09, 1e-10, 1e-10, 1e-07, 0.001, 1e-06, 0.001, 1e-08, 1e-09]
2, 3, -20000.0, [1e-10, 1e-10, 1e-09, 1e-09, 1e-09, 1e-10, 1e-10, 0.001, 1e-06, 0.001, 1e-07, 1e-10]
